Survey_ID,Site,Date_mm/dd/yy,Depth,Time,Duration,Visbility_m,Researcher,GrowthForm,0-20,20-40,40-60,60-80,80+,Bleaching,Site_Type
GR1,Green Rock Wall,03/01/2023,11.0,NA,NA,NA,GlobalReef,Massive,6,10,8,12,15,Pre,High Density
GR1,Green Rock Wall,03/01/2023,11.0,NA,NA,NA,GlobalReef,Sub Massive,3,14,23,12,15,Pre,High Density
GR1,Green Rock Wall,03/01/2023,11.0,NA,NA,NA,GlobalReef,Arborescent,0,0,0,0,0,Pre,High Density
GR1,Green Rock Wall,03/01/2023,11.0,NA,NA,NA,GlobalReef,Caespitose,4,2,0,0,0,Pre,High Density
GR1,Green Rock Wall,03/01/2023,11.0,NA,NA,NA,GlobalReef,Corymbose,0,0,2,0,0,Pre,High Density
GR1,Green Rock Wall,03/01/2023,11.0,NA,NA,NA,GlobalReef,Digitate,0,0,0,0,0,Pre,High Density
GR1,Green Rock Wall,03/01/2023,11.0,NA,NA,NA,GlobalReef,Solitary,9,11,12,0,0,Pre,High Density
GR1,Green Rock Wall,03/01/2023,11.0,NA,NA,NA,GlobalReef,Tabular,0,0,0,0,1,Pre,High Density
GR1,Green Rock Wall,03/01/2023,11.0,NA,NA,NA,GlobalReef,Foliose,14,12,6,0,0,Pre,High Density
GR1,Green Rock Wall,03/01/2023,11.0,NA,NA,NA,GlobalReef,Laminar,4,2,6,0,0,Pre,High Density
GR1,Green Rock Wall,03/01/2023,11.0,NA,NA,NA,GlobalReef,Intracolonial Morph. Var.,0,0,0,0,0,Pre,High Density
GR1,Green Rock Wall,03/01/2023,11.0,NA,NA,NA,GlobalReef,Encrusting,16,15,24,0,2,Pre,High Density
GR2,Green Rock Wall,04/01/2023,12.0,NA,NA,NA,GlobalReef,Massive,3,5,6,7,11,Pre,High Density
GR2,Green Rock Wall,04/01/2023,12.0,NA,NA,NA,GlobalReef,Sub Massive,2,19,16,16,8,Pre,High Density
GR2,Green Rock Wall,04/01/2023,12.0,NA,NA,NA,GlobalReef,Arborescent,0,0,1,0,0,Pre,High Density
GR2,Green Rock Wall,04/01/2023,12.0,NA,NA,NA,GlobalReef,Caespitose,0,0,0,0,0,Pre,High Density
GR2,Green Rock Wall,04/01/2023,12.0,NA,NA,NA,GlobalReef,Corymbose,1,2,1,0,0,Pre,High Density
GR2,Green Rock Wall,04/01/2023,12.0,NA,NA,NA,GlobalReef,Digitate,0,0,0,0,0,Pre,High Density
GR2,Green Rock Wall,04/01/2023,12.0,NA,NA,NA,GlobalReef,Solitary,4,2,2,0,0,Pre,High Density
GR2,Green Rock Wall,04/01/2023,12.0,NA,NA,NA,GlobalReef,Tabular,0,0,0,1,0,Pre,High Density
GR2,Green Rock Wall,04/01/2023,12.0,NA,NA,NA,GlobalReef,Foliose,6,4,0,0,0,Pre,High Density
GR2,Green Rock Wall,04/01/2023,12.0,NA,NA,NA,GlobalReef,Laminar,1,1,0,0,0,Pre,High Density
GR2,Green Rock Wall,04/01/2023,12.0,NA,NA,NA,GlobalReef,Intracolonial Morph. Var.,0,0,0,0,0,Pre,High Density
GR2,Green Rock Wall,04/01/2023,12.0,NA,NA,NA,GlobalReef,Encrusting,28,25,8,5,1,Pre,High Density
GR3,Green Rock Wall,05/01/2023,10.0,NA,NA,NA,GlobalReef,Massive,4,4,2,2,29,Pre,High Density
GR3,Green Rock Wall,05/01/2023,10.0,NA,NA,NA,GlobalReef,Sub Massive,6,6,8,4,3,Pre,High Density
GR3,Green Rock Wall,05/01/2023,10.0,NA,NA,NA,GlobalReef,Arborescent,1,1,0,0,0,Pre,High Density
GR3,Green Rock Wall,05/01/2023,10.0,NA,NA,NA,GlobalReef,Caespitose,1,0,2,0,0,Pre,High Density
GR3,Green Rock Wall,05/01/2023,10.0,NA,NA,NA,GlobalReef,Corymbose,0,0,2,1,0,Pre,High Density
GR3,Green Rock Wall,05/01/2023,10.0,NA,NA,NA,GlobalReef,Digitate,0,0,0,0,0,Pre,High Density
GR3,Green Rock Wall,05/01/2023,10.0,NA,NA,NA,GlobalReef,Solitary,5,8,2,0,0,Pre,High Density
GR3,Green Rock Wall,05/01/2023,10.0,NA,NA,NA,GlobalReef,Tabular,0,0,0,0,0,Pre,High Density
GR3,Green Rock Wall,05/01/2023,10.0,NA,NA,NA,GlobalReef,Foliose,7,4,1,0,0,Pre,High Density
GR3,Green Rock Wall,05/01/2023,10.0,NA,NA,NA,GlobalReef,Laminar,1,1,0,0,0,Pre,High Density
GR3,Green Rock Wall,05/01/2023,10.0,NA,NA,NA,GlobalReef,Intracolonial Morph. Var.,0,0,0,0,0,Pre,High Density
GR3,Green Rock Wall,05/01/2023,10.0,NA,NA,NA,GlobalReef,Encrusting,14,12,6,0,0,Pre,High Density
GR4,Green Rock Wall,06/01/2023,9.0,NA,NA,NA,GlobalReef,Massive,4,8,12,9,8,Pre,High Density
GR4,Green Rock Wall,06/01/2023,9.0,NA,NA,NA,GlobalReef,Sub Massive,5,8,10,12,5,Pre,High Density
GR4,Green Rock Wall,06/01/2023,9.0,NA,NA,NA,GlobalReef,Arborescent,0,0,0,0,0,Pre,High Density
GR4,Green Rock Wall,06/01/2023,9.0,NA,NA,NA,GlobalReef,Caespitose,2,2,2,0,0,Pre,High Density
GR4,Green Rock Wall,06/01/2023,9.0,NA,NA,NA,GlobalReef,Corymbose,1,0,1,0,0,Pre,High Density
GR4,Green Rock Wall,06/01/2023,9.0,NA,NA,NA,GlobalReef,Digitate,0,0,0,0,0,Pre,High Density
GR4,Green Rock Wall,06/01/2023,9.0,NA,NA,NA,GlobalReef,Solitary,11,26,8,0,0,Pre,High Density
GR4,Green Rock Wall,06/01/2023,9.0,NA,NA,NA,GlobalReef,Tabular,0,0,0,0,0,Pre,High Density
GR4,Green Rock Wall,06/01/2023,9.0,NA,NA,NA,GlobalReef,Foliose,7,2,0,0,0,Pre,High Density
GR4,Green Rock Wall,06/01/2023,9.0,NA,NA,NA,GlobalReef,Laminar,0,1,1,0,0,Pre,High Density
GR4,Green Rock Wall,06/01/2023,9.0,NA,NA,NA,GlobalReef,Intracolonial Morph. Var.,0,1,1,0,0,Pre,High Density
GR4,Green Rock Wall,06/01/2023,9.0,NA,NA,NA,GlobalReef,Encrusting,21,16,5,0,0,Pre,High Density
GR5,Green Rock Wall,07/01/2023,12.0,NA,NA,NA,GlobalReef,Massive,1,5,1,1,13,Pre,High Density
GR5,Green Rock Wall,07/01/2023,12.0,NA,NA,NA,GlobalReef,Sub Massive,4,9,10,15,6,Pre,High Density
GR5,Green Rock Wall,07/01/2023,12.0,NA,NA,NA,GlobalReef,Arborescent,3,0,0,0,0,Pre,High Density
GR5,Green Rock Wall,07/01/2023,12.0,NA,NA,NA,GlobalReef,Caespitose,0,1,0,0,0,Pre,High Density
GR5,Green Rock Wall,07/01/2023,12.0,NA,NA,NA,GlobalReef,Corymbose,0,0,0,0,0,Pre,High Density
