Site,Date_mm/dd/yy,Avg_Depth_m,Start_Time,Duration_min,Visibility_m,Weather,Current,Boats,Researcher,Parrotfish,Rabbitfish,Butterflyfish,Angelfish,Cleaner_Wrasse,Batfish,Thicklip,Red_Breast,Slingjaw,Sweetlips,Squirrel/Soldier,Triggerfish,Porcupine/Puffer,Ray,Snapper<30,Snapper>30,Eel,Trevally,Emperorfish,Grouper<30,Grouper>30,Barracuda,Total_abundance_N
Twins Wall,01/04/2025,8.1,9:30,25,11,4,None,7,Renzo,125,65,66,5,13,0,13,13,11,0,63,4,0,0,2,0,0,2,8,44,17,0,
Twins Wall,01/04/2025,9.2,9:20,25,11,4,None,7,Emma,66,53,64,5,16,0,15,16,6,0,56,5,0,0,2,0,0,4,8,56,4,0,
Shark Island,02/18/2025,10.3,9:34,25,8,2,Light,3,Keisha,18,20,15,2,0,1,4,5,1,0,28,2,0,0,120,2,0,2,10,17,2,100,349
Shark Island,02/18/2025,11.0,7:20,20,8,2,Light,3,Martin,12,27,50,8,12,0,1,2,1,0,52,1,0,0,80,0,0,4,4,98,2,0,354
Shark island ,02/18/2025,11.0,9:34,25,8,2,Light,3,Jen,33,46,23,1,8,1,5,7,3,0,39,2,0,0,352,2,0,3,9,33,3,0,570
Shark island ,02/18/2025,11.0,7:20,20,8,2,Light,3,Elise,14,30,60,9,8,0,2,1,6,0,55,2,0,0,90,2,0,4,2,68,7,0,360
Aow Leuk,02/28/2025,8.0,12:40,25,10,1,None,7,Max,32,77,69,0,5,0,8,20,5,1,5,0,0,0,0,0,0,6,8,42,15,0,293
Aow Leuk,02/28/2025,8.0,12:40,25,10,1,None,7,Martin,31,47,67,0,4,0,7,13,3,1,7,1,0,0,0,0,0,6,6,50,8,0,251
Twins Wall,03/04/2025,10.0,13:00,25,8,2,None,9,Scar,64,73,54,1,26,0,5,8,3,0,21,1,0,0,2,0,0,0,4,66,3,0,331
Twins Wall,03/04/2025,10.0,13:00,25,8,2,None,9,Martin,75,62,37,1,15,0,8,7,6,0,37,1,0,0,3,0,0,1,2,47,7,0,309
Aow Leuk,03/05/2025,7.0,15:09,25,10,2,None,6,Martin,14,29,65,1,5,0,7,10,7,1,22,2,0,2,5,0,0,2,8,75,6,0,261
Aow Leuk,03/05/2025,7.0,15:09,25,10,2,None,6,Olive,16,47,52,0,5,0,10,9,11,1,15,2,0,2,4,0,0,6,12,51,18,0,261
Aow Leuk,03/05/2025,10.0,15:10,25,12,1,None,2,Gav,34,49,66,0,8,0,7,7,10,0,25,1,0,1,5,0,0,1,10,64,8,0,296
Aow Leuk,03/05/2025,10.0,15:10,25,12,1,None,2,Camille,21,60,58,0,7,0,1,15,3,1,30,1,0,0,13,0,0,3,14,51,13,0,291
Aow Leuk,03/13/2025,7.0,15:12,25,8,2,Light,0,Elise,42,65,70,3,19,0,8,10,17,1,1,0,0,1,6,0,0,5,8,75,3,0,334
Aow Leuk,03/13/2025,7.0,15:12,25,8,2,Light,0,Camille,12,59,49,4,27,0,8,10,3,1,1,0,0,1,5,0,0,4,12,25,0,0,221
Shark Island,03/21/2025,10.0,7:08,25,18,3,Light,0,Elise,35,70,46,0,32,1,11,2,4,0,16,1,0,0,230,0,0,30,8,55,15,0,556
Shark Island,03/21/2025,10.0,7:08,25,18,3,Light,0,Camille,24,100,61,0,29,1,19,4,2,1,0,2,0,0,70,0,0,34,4,31,4,280,666
